indeks_katalogowy,nazwa,zdjecie,rozmiar,material,vat,cena_FV_brutto,cena_detal,stan_magazynowy,producent,opis_tekstowy,jednostka_wymiaru,szerokosc,wysokosc,ostatnia_aktualizacja
6342/1OW,"6342/1OW OBRAZEK PAMIĄTKA I KOMUNII ŚW.  8,5x11 CM",https://wikomistral.ddns.net/Obrazki/6342.1OW_6342 OW.jpg,"8,5x11 cm",Mirosilver,23,47.23,122.80,102,Beltrami s.r.l.,WYMIAR OBRAZKA SREBRNEGO 7X9,cm,"8,500","11,000",2025-11-01 02:42:15
6342/2A,6342/2A OBRAZEK PAMIĄTKA I KOMUNII ŚW.    10x13 CM,https://wikomistral.ddns.net/Obrazki/6342.2A_6342 A.jpg,10x13 cm,Mirosilver,23,101.66,223.65,16,Beltrami s.r.l.,,cm,"10,000","13,000",2025-11-01 02:42:15
6342/2AW,"6342/2AW OBRAZEK PAMIĄTKA I KOMUNII ŚW.  11,5x15 CM",https://wikomistral.ddns.net/Obrazki/6342.2AW_6342 AW.jpg,"11,5x15 cm",Mirosilver,23,69.37,166.49,7,Beltrami s.r.l.,WYMIAR OBRAZKA SREBRNEGO 10X13 CM,cm,"11,500","15,000",2025-11-01 02:42:15
6342/2O,6342/2O OBRAZEK PAMIĄTKA I KOMUNII ŚW.    10x13 CM,https://wikomistral.ddns.net/Obrazki/6342.2O_6342 O.jpg,10x13 cm,Mirosilver,23,101.66,223.65,17,Beltrami s.r.l.,,cm,"10,000","13,000",2025-11-01 02:42:15
6342/2OW,"6342/2OW OBRAZEK PAMIĄTKA I KOMUNII ŚW.  11,5x15 CM",https://wikomistral.ddns.net/Obrazki/6342.2OW_6342 OW.jpg,"11,5x15 cm",Mirosilver,23,69.37,166.49,13,Beltrami s.r.l.,WYMIAR OBRAZKA SREBRNEGO 10X13,cm,"11,500","15,000",2025-11-01 02:42:15
6346/2,6346/2 OBRAZEK MATKA BOŻA OSTROBRAMSKA    6x9 CM,https://wikomistral.ddns.net/Obrazki/6346.2_6346_m.jpg,6x9 cm,Mirosilver,23,73.62,176.69,0,Beltrami s.r.l.,,cm,"6,000","9,000",2025-11-01 02:42:15
6346/2X,6346/2X OBRAZEK MATKA BOŻA OSTROBRAMSKA  9x13 CM,https://wikomistral.ddns.net/Obrazki/6346.2X_6346_m.jpg,9x13 cm,Mirosilver,23,120.36,264.79,48,Beltrami s.r.l.,,cm,"9,000","13,000",2025-11-01 02:42:15
6346/3,6346/3 OBRAZEK MATKA BOŻA OSTROBRAMSKA  13x18 CM,https://wikomistral.ddns.net/Obrazki/6346.3_6346_m.jpg,13x18 cm,Mirosilver,23,212.67,425.34,11,Beltrami s.r.l.,,cm,"13,000","18,000",2025-11-01 02:42:15
6350/2X,6350/2X OBRAZEK MATKA BOŻA NIEUSTAJĄCEJ  POMOCY 9x13 CM,https://wikomistral.ddns.net/Obrazki/6350.2X_6350.jpg,9x13 cm,Mirosilver,23,120.36,264.79,19,Beltrami s.r.l.,,cm,"9,000","13,000",2025-11-01 02:42:15
6350/3,6350/3 OBRAZEK MATKA BOŻA NIEUSTAJĄCEJ  POMOCY 13x18 CM,https://wikomistral.ddns.net/Obrazki/6350.3_6350.jpg,13x18 cm,Mirosilver,23,212.67,425.34,10,Beltrami s.r.l.,,cm,"13,000","18,000",2025-11-01 02:42:15
6353/1,6353/1 OBRAZEK ANIOŁEK 7x9 CM,https://wikomistral.ddns.net/Obrazki/6353.1_6353_m.jpg,7x9 cm,Mirosilver,23,71.28,171.07,8,Beltrami s.r.l.,,cm,"7,000","9,000",2025-11-01 02:42:15
6353/1W,"6353/1W OBRAZEK ANIOŁEK 8,5x11 CM",https://wikomistral.ddns.net/Obrazki/6353.1W_6353-W_m.jpg,"8,5x11 cm",Mirosilver,23,74.78,179.47,10,Beltrami s.r.l.,WYMIAR OBRAZKA SREBRNEGO 7X9CM,cm,"8,500","11,000",2025-11-01 02:42:15
6353/2,6353/2 OBRAZEK ANIOŁEK 10x13 CM,https://wikomistral.ddns.net/Obrazki/6353.2_6353_m.jpg,10x13 cm,Mirosilver,23,101.66,223.65,20,Beltrami s.r.l.,,cm,"10,000","13,000",2025-11-01 02:42:15
6353/2W,"6353/2W OBRAZEK ANIOŁEK 11,5x15 CM",https://wikomistral.ddns.net/Obrazki/6353.2W_6353-W_m.jpg,"11,5x15 cm",Mirosilver,23,109.84,241.65,22,Beltrami s.r.l.,WYMIARY OBRAZKA SREBRNEGO 10X13 CM,cm,"11,500","15,000",2025-11-01 02:42:15
6365/2,6365/2 OBRAZEK ŚW. RODZINA 8x8 CM,https://wikomistral.ddns.net/Obrazki/6365.2_6365_m.jpg,8x8 cm,Mirosilver,23,67.90,162.96,1,Beltrami s.r.l.,,cm,"8,000","8,000",2025-11-01 02:42:15
6365/2X,6365/2X OBRAZEK ŚW. RODZINA 12x12 CM,https://wikomistral.ddns.net/Obrazki/6365.2X_6365_m.jpg,12x12 cm,Mirosilver,23,130.87,287.91,214,Beltrami s.r.l.,,cm,"12,000","12,000",2025-11-01 02:42:15
6378/2X,6378/2X OBRAZEK ŚW. RODZINA 10x13 CM,https://wikomistral.ddns.net/Obrazki/6378.2X_6378_m.jpg,10x13 cm,Mirosilver,23,85.61,205.46,3,Beltrami s.r.l.,,cm,"10,000","13,000",2025-11-01 02:42:15
6379/2X,6379/2X OBRAZEK MATKA BOŻA 10x13 CM,https://wikomistral.ddns.net/Obrazki/6379.2X_6379_m.jpg,10x13 cm,Mirosilver,23,101.66,223.65,28,Beltrami s.r.l.,,cm,"10,000","13,000",2025-11-01 02:42:15
6379/3X,6379/3X OBRAZEK MATKA BOŻA 13x18 CM,https://wikomistral.ddns.net/Obrazki/6379.3X_6379_m.jpg,13x18 cm,Mirosilver,23,183.45,366.90,18,Beltrami s.r.l.,,cm,"13,000","18,000",2025-11-01 02:42:15
6380/2,6380/2 OBRAZEK ŚW. RODZINA 6x12 CM,https://wikomistral.ddns.net/Obrazki/6380.2_6380.jpg,6x12 cm,Mirosilver,23,86.47,207.53,539,Beltrami s.r.l.,,cm,"6,000","12,000",2025-11-01 02:42:15
6380/2TP,6380/2TP OBRAZEK ŚW. RODZINA 9x15 CM,https://wikomistral.ddns.net/Obrazki/6380.2TP_6380TP.jpg,9x15 cm,Mirosilver,23,93.48,224.35,28,Beltrami s.r.l.,,cm,"9,000","15,000",2025-11-01 02:42:15
